experiment,repetition,runtime,max_mem
lustre,0,74.89,1942844
lustre,0,75.42,1942156
mem_all,0,143.03,1961564
mem_final,0,184.31,1960364
lustre,1,54.58,1939564
mem_final,1,184.28,1958296
lustre,1,54.51,1942788
mem_all,1,143.67,1959804
lustre,2,70.98,1942112
mem_final,2,186.34,1958784
lustre,2,53.33,1939060
mem_all,2,143.43,1958152
mem_final,3,185.43,1959940
lustre,3,52.09,1941456
lustre,3,70.39,1942276
mem_all,3,141.98,1959204
lustre,4,69.94,1941188
