experiment,repetition,runtime,flush_time,disk_files,total_flush
sea_mem_3n_6t_6d_1000f_617m_10i,0,1120.462030218,0m23.547s real 0m24.294s real 0m23.834s,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,0,3749.947783055,0m34.766s,0,0
sea_mem_5n_6t_6d_1000f_617m_10i,0,716.281375775,0m13.187s real 0m13.551s real 0m13.404s real 0m13.385s real 0m13.398s,0,0
lustre_2n_6t_6d_1000f_617m_10i,0,2124.470335973,,0,0
lustre_4n_6t_6d_1000f_617m_10i,0,1247.021963147,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,0,832.613293448,0m17.033s real 0m17.364s real 0m17.472s real 0m17.127s,0,0
lustre_1n_6t_6d_1000f_617m_10i,0,3755.721951922,,0,0
lustre_3n_6t_6d_1000f_617m_10i,0,1589.438044595,,0,0
sea_mem_2n_6t_6d_1000f_617m_10i,0,1735.017010009,0m34.283s real 0m33.779s,0,0
lustre_5n_6t_6d_1000f_617m_10i,0,1173.245252292,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,1,837.419798729,0m17.055s real 0m17.483s real 0m17.372s real 0m17.054s,0,0
lustre_4n_6t_6d_1000f_617m_10i,1,1311.913200515,,0,0
sea_mem_5n_6t_6d_1000f_617m_10i,1,665.202214026,0m13.568s real 0m13.400s real 0m13.373s real 0m13.570s real 0m13.211s,0,0
lustre_2n_6t_6d_1000f_617m_10i,1,2116.467242801,,0,0
sea_mem_2n_6t_6d_1000f_617m_10i,1,1723.279808612,0m33.886s real 0m34.306s,0,0
lustre_3n_6t_6d_1000f_617m_10i,1,1569.437981120,,0,0
lustre_5n_6t_6d_1000f_617m_10i,1,1231.505117700,,0,0
sea_mem_3n_6t_6d_1000f_617m_10i,1,1103.254715643,0m23.678s real 0m23.848s real 0m24.323s,0,0
lustre_1n_6t_6d_1000f_617m_10i,1,3773.662439856,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,1,3663.641181706,0m34.360s,0,0
sea_mem_3n_6t_6d_1000f_617m_10i,2,1133.847614661,0m23.887s real 0m23.905s real 0m24.440s,0,0
lustre_2n_6t_6d_1000f_617m_10i,2,2162.059334834,,0,0
lustre_3n_6t_6d_1000f_617m_10i,2,1631.102605905,,0,0
lustre_1n_6t_6d_1000f_617m_10i,2,3786.292723089,,0,0
lustre_5n_6t_6d_1000f_617m_10i,2,1352.983894659,,0,0
sea_mem_2n_6t_6d_1000f_617m_10i,2,1787.092160487,0m34.780s real 0m33.740s,0,0
sea_mem_5n_6t_6d_1000f_617m_10i,2,702.650117038,0m13.250s real 0m13.511s real 0m13.622s real 0m13.300s real 0m13.431s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,2,822.096664329,0m17.453s real 0m17.010s real 0m17.261s real 0m17.159s,0,0
lustre_4n_6t_6d_1000f_617m_10i,2,1373.520301669,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,2,3737.456173033,0m34.502s,0,0
sea_mem_3n_6t_6d_1000f_617m_10i,3,1089.164601479,0m24.640s real 0m23.614s real 0m23.737s,0,0
lustre_4n_6t_6d_1000f_617m_10i,3,1347.212100302,,0,0
sea_mem_5n_6t_6d_1000f_617m_10i,3,651.255382984,0m13.654s real 0m13.473s real 0m13.228s real 0m13.288s real 0m13.438s,0,0
lustre_5n_6t_6d_1000f_617m_10i,3,1356.871357715,,0,0
lustre_3n_6t_6d_1000f_617m_10i,3,1565.236785510,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,3,3718.224177241,0m34.455s,0,0
sea_mem_2n_6t_6d_1000f_617m_10i,3,1710.864570799,0m34.399s real 0m33.753s,0,0
lustre_1n_6t_6d_1000f_617m_10i,3,3756.519983338,,0,0
lustre_2n_6t_6d_1000f_617m_10i,3,2165.696314636,,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,3,830.404363188,0m16.976s real 0m17.174s real 0m17.193s real 0m17.418s,0,0
lustre_4n_6t_6d_1000f_617m_10i,4,1424.533272070,,0,0
lustre_3n_6t_6d_1000f_617m_10i,4,1509.192769836,,0,0
sea_mem_3n_6t_6d_1000f_617m_10i,4,1090.749072611,0m24.218s real 0m23.691s real 0m23.587s,0,0
sea_mem_2n_6t_6d_1000f_617m_10i,4,1786.860106312,0m33.300s real 0m34.347s,0,0
lustre_2n_6t_6d_1000f_617m_10i,4,2074.053011531,,0,0
sea_mem_1n_6t_6d_1000f_617m_10i,4,3665.760765960,0m34.512s,0,0
lustre_5n_6t_6d_1000f_617m_10i,4,1272.636772495,,0,0
lustre_1n_6t_6d_1000f_617m_10i,4,3717.261897945,,0,0
sea_mem_5n_6t_6d_1000f_617m_10i,4,686.312048124,0m13.316s real 0m13.520s real 0m13.436s real 0m13.496s real 0m13.417s,0,0
sea_mem_4n_6t_6d_1000f_617m_10i,4,830.483340596,0m17.091s real 0m17.266s real 0m17.527s real 0m16.941s,0,0
