experiment,repetition,runtime,flush_time,disk_files,total_flush
lustre_1n_6t_6d_1000f_617m_5i,0,2472.248521719,,0,0
lustre_2n_6t_6d_1000f_617m_5i,0,1384.010365498,,0,0
lustre_5n_6t_6d_1000f_617m_5i,0,739.518654331,,0,0
lustre_4n_6t_6d_1000f_617m_5i,0,865.807926827,,0,0
lustre_3n_6t_6d_1000f_617m_5i,0,1082.978689669,,0,0
lustre_2n_6t_6d_1000f_617m_5i,1,1462.238712613,,0,0
lustre_1n_6t_6d_1000f_617m_5i,1,2562.787297229,,0,0
lustre_3n_6t_6d_1000f_617m_5i,1,1105.716907329,,0,0
lustre_5n_6t_6d_1000f_617m_5i,1,837.850405335,,0,0
lustre_4n_6t_6d_1000f_617m_5i,1,963.777339937,,0,0
lustre_5n_6t_6d_1000f_617m_5i,2,837.149764583,,0,0
lustre_3n_6t_6d_1000f_617m_5i,2,1145.382815298,,0,0
lustre_4n_6t_6d_1000f_617m_5i,2,938.998424603,,0,0
lustre_1n_6t_6d_1000f_617m_5i,2,2573.053441068,,0,0
lustre_2n_6t_6d_1000f_617m_5i,2,1513.874643833,,0,0
lustre_4n_6t_6d_1000f_617m_5i,3,961.613156118,,0,0
lustre_3n_6t_6d_1000f_617m_5i,3,1169.474826674,,0,0
lustre_2n_6t_6d_1000f_617m_5i,3,1530.518885416,,0,0
lustre_5n_6t_6d_1000f_617m_5i,3,872.890734895,,0,0
lustre_1n_6t_6d_1000f_617m_5i,3,2682.953741222,,0,0
lustre_3n_6t_6d_1000f_617m_5i,4,1217.590021793,,0,0
lustre_2n_6t_6d_1000f_617m_5i,4,1572.042636429,,0,0
lustre_5n_6t_6d_1000f_617m_5i,4,895.258959992,,0,0
lustre_1n_6t_6d_1000f_617m_5i,4,2671.878873130,,0,0
lustre_4n_6t_6d_1000f_617m_5i,4,966.799256028,,0,0
